,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
25,All,"[-0.0457683396525681, 0.0290067354217171, 0.0783696575090289, 0.1616404212545603]","[0.0116737028536802, 0.0553652026650073, -0.0076054404584735, 0.2030947175164189]",0.8413498078363415,0.7488150652945943,0.37174844188051653
26,Allah,[-0.0155325474916026],[0.0735001642374255],-1.0,0.0,0.0
27,Alot,[0.1208086344413459],[0.2072502788482728],1.0,0.0,0.0
28,Alps,[0.1547668878920376],[0.046226023572462],1.0,0.0,0.0
29,Although,"[-0.0734694485436193, -0.1354271171876462]","[-0.0105333202498414, -0.2077202773891993]",0.9020060956426615,1.0,0.0
30,America,"[-0.0958812208846211, -0.0041761520551517, -0.0913511679973453]","[0.0125699918910735, 0.0146114992411723, -0.0882711586876039]",0.5678097784679813,0.47689486396788894,0.47204889102676184
31,American,"[-0.0202512968098744, -0.0204196487320587, -0.2105973521247506, 0.1424321025260724, -0.0066130026243627]","[-0.0108754317640109, 0.0620826657773982, -0.0892228273528621, 0.1035099896475024, -0.009880008601708]",0.8432780009226046,0.9073663562557958,0.0936722826573883
32,Americans,"[0.026386406738311, -0.0422722782532218]","[0.0432372525610705, -0.0329181181895101]",0.9351711822948592,1.0,0.0
33,Amish,[0.3086755054537207],[0.1038390128103124],1.0,0.0,0.0
34,Angolan,[-0.1854185166303068],[-0.085190178379387],1.0,0.0,0.0
35,Apocalypse,[-0.0480387695715762],[-0.0158983268877655],1.0,0.0,0.0
36,Arab,[-0.0716023024870082],[-0.1434874026594176],1.0,0.0,0.0
37,Arabia,"[0.0213138277176767, 0.0286861506610875]","[0.0242542920108334, -0.0023428307795983]",0.5164590964130077,-1.0,0.5081329190938534
38,Arabian,"[0.097355994163081, 0.0508686988614499, 0.0351561824791133]","[0.0196894410661819, 0.0293126895597964, 0.0099743308785927]",0.8881576471038187,0.24555714524971572,0.16572686812461576
39,Are,[-0.074526252283249],[0.0658936355806834],-1.0,0.0,0.0
40,Argentina,[-0.0452261685859411],[0.0194898243890456],-1.0,0.0,0.0
41,Argentine,[0.1232690243050456],[-0.0212001677075976],-1.0,0.0,0.0
42,As,[-0.0377782278228551],[-0.0238750003389149],1.0,0.0,0.0
43,Asexual,"[0.3698116896557621, 0.2081724297167966, 0.3853354319289792, 0.3654486287850886, 0.5045820949599147, 0.3855521334335208, 0.353887430508621, 0.30875174637913, 0.3077702635346213, 0.3706252184056211, 0.3080854850413743, 0.3680498776520835, 0.3464134372770786, 0.3113959222100675]","[0.1590660170737309, 0.0865064753640018, 0.2284215490848433, 0.1850670167972556, 0.1688987410274743, 0.3127621516457396, 0.2602616104034329, 0.1506232836343678, 0.0498663378883213, 0.1570136170330175, 0.085346400757029, 0.2518864442543554, 0.2890122169179973, 0.2554195454303539]",0.935834021882111,0.3849472898898313,0.14121559006164208
44,Asian,"[-0.0156986122019588, 0.0266630809055641]","[-0.0018342050774319, -0.0208364151246807]",-0.8139197024584757,-1.0,0.8325546111576977
45,At,[0.1283169224625453],[0.21618199923917],1.0,0.0,0.0
46,Australians,[-0.0222752289846539],[-0.0328662620046299],1.0,0.0,0.0
47,Austria,"[0.1415354569908231, 0.0367570465896278]","[0.0295996023785031, 0.0634856536906866]",0.6368196800334491,-1.0,0.34611940681333125
48,Austrian,"[0.0582967055961489, 0.0464382250793278]","[0.075618272835493, 0.0005459220217269]",0.7866481393529737,1.0,0.410946341148799
49,Bad,[0.2134073842316866],[0.1703224113656286],1.0,0.0,0.0
50,Bai,[0.1359240040183067],[0.1037880118714683],1.0,0.0,0.0
51,Bangladeshi,[0.0170481470486265],[0.0004396047701262],1.0,0.0,0.0
52,Barundi,[-0.2006559311412274],[-0.1034750621715048],1.0,0.0,0.0
53,Barundians,[-0.2025317015359178],[-0.144677991425186],1.0,0.0,0.0
54,Because,"[0.1510198499308899, 0.0738247452536597]","[-0.0123716259711159, 0.0917342272640649]",0.31516066031790624,-1.0,0.5672165181574819
55,Being,[-0.0386712047038599],[-0.0378660633516773],1.0,0.0,0.0
56,Bengali,"[0.0935911750420928, 0.117215409874916]","[-0.0136573135359629, 0.0534465201085733]",0.6026515751440396,1.0,0.4312536412149363
57,Bermudan,[-0.0996917462907731],[-0.071450791406334],1.0,0.0,0.0
58,Betty,[0.0222027275012806],[-0.0140054632115579],-1.0,0.0,0.0
59,Bible,"[-0.0923749167122878, 0.0216819716151803]","[-0.0378722043853332, 0.0014789118981497]",0.9817172517681094,1.0,0.0
60,Bill,[-0.0401661715004593],[-0.0673989120861368],1.0,0.0,0.0
61,Bisexual,"[0.0933848177082836, 0.3432956850156188, 0.3530634156195447, 0.2763407776947133, 0.1845153521862812, 0.2119452079787152, 0.3944686828181147, 0.2889508968219161, 0.5198958478868008, 0.2790406283456832, 0.2086870786733925, 0.2712711859494447, 0.3608657331787981, 0.2099882509355666, 0.0761504879556014, 0.3558308281644713, 0.3842842681333422]","[-0.0723869319387105, 0.0631273562305374, 0.0828336390193474, 0.0714103350965304, 0.0141815620090316, 0.0783526769729017, 0.0498585716473956, 0.1398477358652362, 0.424404447605351, 0.1390480911829304, -0.0663021066238822, -0.1269957421536782, 0.096242253783461, 0.0763547961227673, -0.013717204777564, 0.1256444325131461, 0.2389068498301031]",0.7224442398973093,0.732151245693212,0.18002697531375075
62,Black,"[0.3688996159471571, 0.4513366562314331, 0.1197969326749444, 0.353306379634887]","[0.2877437863750149, 0.2920243234326897, 0.0119513143765167, 0.0909853446043571]",0.9338836822560002,0.8411020538568987,0.18695243731389102
63,Blacks,"[0.4351740009151399, 0.6634880811907351, 0.4578591762110591, 0.3031286395562347]","[0.392637188840166, 0.4475001183124115, 0.2731164255162577, 0.1950086109414867]",0.988614734699915,0.8563621418948106,0.055278635818250536
64,Blue,[-0.0559422661899589],[-0.1221973943723044],1.0,0.0,0.0
65,Bolivian,[0.0566831729956902],[-0.0949048947108296],-1.0,0.0,0.0
66,Book,[-0.2702394826264935],[-0.2598819573520514],1.0,0.0,0.0
67,Brad,[0.0422145065385848],[-0.0540771292313447],-1.0,0.0,0.0
68,Brahmin,"[0.2120880377478897, 0.1718177839647978, 0.2405654545873403]","[0.0401849951262417, 0.0477210459573701, 0.105762440244153]",0.9437986864238166,0.7468300457077173,0.12423800402153351
69,Brahmins,"[0.3845862410962581, 0.3573075085878372]","[0.1977601458798036, 0.0587499949157811]",0.8961090247202101,1.0,0.18812598123887056
70,Brazil,[-0.0471681035123765],[0.060257696611632],-1.0,0.0,0.0
71,Brazilian,"[0.1953631641808897, 0.0343166489619761, 0.0509327892214059, 0.0874624834395945]","[0.1274137658974861, 0.04767462353595, -0.0476957422520636, 0.0504984472999762]",0.8383272654345121,0.7801522921243923,0.2633938973439181
72,Britain,[-0.0164351062849164],[-0.0766564747974248],1.0,0.0,0.0
73,British,"[0.0526925597805529, -0.0175139929051511, 0.1067456766031682, 0.1013384722173214]","[0.0171391111076126, -0.0194850331195371, 0.000704954926191, -0.117258103442004]",-0.5591072440437044,-0.32007763245844123,0.48998330506257354
74,Bucharest,[-0.0931451600044965],[-0.0013912431862611],1.0,0.0,0.0
75,Buddhist,[0.1010168814100325],[0.0368770347440828],1.0,0.0,0.0
76,Burr,[0.2209054883569479],[0.0990904404988333],1.0,0.0,0.0
77,But,"[-0.0141254615155048, 0.0122989722294732, -0.0514046947937458, -0.0313322074071038, -0.060923573855689]","[-0.0277980395523698, -0.0451080620783936, -0.0485065838942264, -0.0476783209370481, -0.1002075487257706]",0.8568019765316427,0.6538666422772821,0.21036269244612382
78,CDs,[0.0039486729074269],[-0.5356258145982657],-1.0,0.0,0.0
79,CEO,"[-0.0227485767100006, 0.1450903576333075]","[0.0290907477534866, 0.0178225968918753]",0.38402346280554256,-1.0,0.5358452225753791
80,Ca,[-0.1570269296353217],[0.013126215920425],-1.0,0.0,0.0
81,Cameroon,"[-0.0054078828543424, 0.0266604889184236, -0.0793915952090174]","[-0.0156896717221081, -0.0060644915071048, -0.079433930090054]",0.9142078198619696,0.9841540113429903,0.03846441427205356
82,Cameroonian,"[0.0237819589674472, 0.1522286471445113, -0.0177186815999448, 0.011837072961498, 0.0803646054118871, 0.05425735283643, 0.1580643042107112, 0.1456945301033556]","[0.0433703039266211, 0.0705628480481746, -0.0371845754731688, -0.0553256631712175, 0.0421144236796424, -0.0012898016598648, 0.0553182986643166, 0.1557473193796355]",0.819434204461729,0.7976610580186196,0.20199894521693545
83,Cameroonians,"[0.0187766006129095, 0.0447209062986075, 0.2095516780391335, -0.0176439454371575]","[0.0759313152560418, 0.0353346351039397, 0.1090358979260743, 0.0375153468068194]",0.8190978392677944,0.8257999788313287,0.30155817511487387
84,Cape,"[-0.0162602897235046, -0.0249412088596727, -0.0083320448175072]","[0.0277771502416072, 0.0277771502416072, -0.0390483572684721]",-0.47831802079203395,-0.8526517831486746,0.6389243175407155
85,Carl,[-0.0306873903609812],[-0.0707309507700711],1.0,0.0,0.0
86,Carrie,[-0.0248524532653391],[-0.0618255019616553],1.0,0.0,0.0
87,Catholics,"[0.0770749910734593, -0.0664715466555208]","[-0.0195196295365422, -0.1452276084415462]",0.5463984820763619,1.0,0.0
88,Chadian,[0.3831889973953366],[0.1808939076835672],1.0,0.0,0.0
89,Chen,[0.1638048887252807],[0.0042248003041441],1.0,0.0,0.0
90,Cheryl,[-0.0185859834309667],[-0.008414133170565],1.0,0.0,0.0
91,Chess,[-0.0732574593275785],[-0.0746472357545893],1.0,0.0,0.0
92,Chile,[0.0019731792272068],[0.0326476653686389],1.0,0.0,0.0
93,Chilean,[0.0509219911182299],[0.0750481297742522],1.0,0.0,0.0
94,Chin,[-0.0084234867827035],[-0.0981466566804528],1.0,0.0,0.0
95,China,[-0.0569900020200293],[-0.0232950006602023],1.0,0.0,0.0
96,Chinese,"[0.1967047126963734, 0.0797703433781862, 0.1789319377858191, 0.1473065832396969, 0.0474537688423879]","[0.1578831152064054, 0.0626553134418563, 0.1211347984344287, 0.100226678528392, 0.0393183197408692]",0.9964989129658258,0.978377012780377,0.029859076150468695
97,Chloe,[0.0108143733814358],[-0.0165300781955568],-1.0,0.0,0.0
98,Chong,[0.0757796935504302],[-0.004502456138931],-1.0,0.0,0.0
99,Christian,"[-0.0267123522498877, -0.2017023033695295, 0.1097882813774049, 0.0838652439415454, 0.0254559571185382, -0.1378991124220192, -0.0645337712485343, -0.0004499638453125]","[0.0373985210518081, -0.1871063609369247, 0.2167718152275327, 0.0752086224763459, 0.0337423663713237, -0.1344410801447064, -0.0782823332957562, 0.1152378934093835]",0.8794497018455325,0.933962596023491,0.07545789138113754
100,Christians,"[-0.0058275004848837, -0.1252478286623954]","[-0.0874290144687295, -0.1949571556115259]",0.9304812428566538,1.0,0.0
101,Churches,[-0.0290036280057393],[-0.073652187998303],1.0,0.0,0.0
102,City,[-0.0382169489748775],[-0.0087476362245574],1.0,0.0,0.0
103,Colombian,[0.115359160117805],[-0.1029647655609019],-1.0,0.0,0.0
104,Compared,[0.0829981893766671],[0.0389723817976525],1.0,0.0,0.0
105,Composers,[0.0582217955379746],[0.0718083851065084],1.0,0.0,0.0
106,Congolese,"[0.3766762730665505, 0.250744025921449, 0.1241880934685468, 0.1376072730636224]","[0.1735507443723443, 0.1931592656606427, -0.0803422528857035, -0.0260017696218729]",0.7508011405107402,0.8671342199888792,0.253327814102219
107,Constitution,[-0.0301072669681161],[0.0013333668839663],-1.0,0.0,0.0
108,Country,[0.0400941057014279],[0.0931436977389001],1.0,0.0,0.0
109,Crusades,[-0.0682961641578003],[-0.0632328199800674],1.0,0.0,0.0
110,Daddy,[0.1701833084225654],[0.0386838832112682],1.0,0.0,0.0
111,Daddys,[0.1267567847389727],[0.0462640578769348],1.0,0.0,0.0
112,David,[0.0270060120674315],[-0.0115329758922726],-1.0,0.0,0.0
113,DeAndre,[-0.0282621521619148],[0.0352083065509499],-1.0,0.0,0.0
114,Despite,[-0.0126363341405522],[-0.0377869123471494],1.0,0.0,0.0
115,Detectives,[0.3529094727709889],[0.0722409886001557],1.0,0.0,0.0
116,Did,[-0.067992647876963],[-0.019567766366625],1.0,0.0,0.0
117,Dinosaurs,[-0.0955330830765888],[-0.0205765284598192],1.0,0.0,0.0
118,Doctors,[0.0568705765181221],[0.0577169999649109],1.0,0.0,0.0
119,Dogs,[-0.0191225358430529],[-0.0034481586140993],1.0,0.0,0.0
120,Don,[-0.0993831659434363],[-0.0641130147393945],1.0,0.0,0.0
121,Drew,[0.0141767017776146],[-0.0113893691592417],-1.0,0.0,0.0
122,Dutch,[0.013466692646034],[-0.0018027214592628],-1.0,0.0,0.0
123,East,"[0.0352024476160295, -0.0004273245576769, -0.0218956171302124]","[-0.0164453938304053, -0.0172039200165417, 0.046948436289506]",-0.7329814844221045,-0.7800023347622604,0.8143251597327038
124,Eastern,[0.0711601260118186],[0.0902002233144151],1.0,0.0,0.0
125,Egypt,[0.2108835931867361],[0.2194421350734276],1.0,0.0,0.0
126,English,"[0.0922708278521895, 0.0320850971620529]","[0.0885589816515665, 0.0348793700572061]",0.9991780151082719,1.0,0.019550663164338726
127,Englishman,"[0.1310604989994317, 0.115873135626316]","[0.1212585382688721, 0.0284596894138117]",0.880707909717722,1.0,0.21246315141035915
128,Entrepreneurs,[0.2153362897224724],[0.2332384572018886],1.0,0.0,0.0
129,Equatorial,[-0.049056613119319],[-0.0196118840645394],1.0,0.0,0.0
130,Eriteria,[-0.0378747063223272],[0.1380185642300574],-1.0,0.0,0.0
131,Eritreans,[0.223853662610054],[0.1972804941111686],1.0,0.0,0.0
132,Ethan,[-0.1798967923532473],[-0.1423643589679964],1.0,0.0,0.0
133,Ethiopia,"[0.0670342405792325, 0.053101357538253]","[0.1325036140390628, 0.0587627764379114]",0.9682862540992491,1.0,0.0986545346106048
134,Ethiopian,"[0.0574232722865417, 0.0013911904316046, -0.0140189863741397, -0.0516383061185479, 0.0978080027271062, -0.0394060229882597, 0.0926370422821492]","[0.1476837685844663, -0.027792876981845, -0.1623414093013743, -0.0998627387538124, -0.0434925103708519, -0.066622830136837, -0.0406048929342481]",0.2520699299954732,0.4671885169287056,0.3252836348251164
135,Ethiopians,[0.0045681656338274],[0.1268663492191991],1.0,0.0,0.0
136,Eto,[0.100194874452427],[-0.013917945136538],-1.0,0.0,0.0
137,Europe,"[-0.0153122023912146, 0.0087032871088013, 0.0522677418775856]","[-0.0268144520796917, 0.0696787903158244, 0.0406429996975451]",0.6700038231966232,0.551430609037773,0.23581224480826962
138,Even,[-0.0677000637515448],[-0.0128537853831593],1.0,0.0,0.0
139,Every,"[0.082209731452167, 0.0566253988072276, 0.1998643890692619]","[-0.0372158803639064, -0.0370934114178531, 0.2574779318485771]",0.7886623043245732,0.9858195658928138,0.40917391284273213
140,Everyone,"[0.0631705468986183, 0.0170103283599019, 0.2587233862141147, 0.1676294186618179, 0.0682686555664986]","[0.0620204497126323, -0.0552030727343051, 0.2157413578922319, 0.1512468242895153, -0.0166091006746203]",0.9302605097494886,0.9535736732437083,0.14303523393261533
141,Fantasy,[-0.144462574076897],[-0.0074073535792789],1.0,0.0,0.0
142,Farsi,[0.0086881841853028],[0.011526539024111],1.0,0.0,0.0
143,Fathers,[0.1359237805008888],[0.0408710628961248],1.0,0.0,0.0
144,Females,[-0.2541289431683253],[-0.1816404213561185],1.0,0.0,0.0
145,Feng,[0.0472615445032715],[-0.0087789713222504],-1.0,0.0,0.0
146,Finland,[0.0864157699979841],[0.0728024510138347],1.0,0.0,0.0
147,Finnish,"[0.0344280985664227, 0.039432082674466]","[0.0049067089280655, -0.003959745110081]",0.03874390908106418,-1.0,0.48452409283336495
148,Finns,[-0.0183067386969923],[0.070820386369561],-1.0,0.0,0.0
149,Fish,[-0.0874507595581235],[-0.0189348491406161],1.0,0.0,0.0
150,Florida,[-0.0671506522339768],[-0.0222641212776636],1.0,0.0,0.0
151,France,[0.0020778952166438],[0.062764517810743],1.0,0.0,0.0
152,French,"[0.0697129431646317, 0.332160416059196, 0.0984692582860589, 0.0898883175104856]","[-0.0205517597780247, 0.3421341812999676, 0.0888506987150501, 0.0323711152653221]",0.9553986610806076,0.9822584411251195,0.2190886802479944
153,Friday,"[0.0183515101089142, -0.0178613129537552, -0.0388393820030614]","[-0.0318815897240259, -0.0296380804943454, 0.0253097900448556]",-0.4434164949124483,-0.8011620963649474,0.7974864840756433
154,Gary,[0.0685970149934291],[0.0042886453948337],1.0,0.0,0.0
155,Gay,"[0.0391933062346652, -0.1278420048765838, 0.2015298977494239, 0.1063018834101967, -0.009659939823905, 0.1017981416662223, 0.0724761312594637, 0.0985589841147884, 0.0570651199086569, 0.112965897336835, 0.0683858921402134, 0.1124077078857226, 0.229985853889957, 0.1230811013374477, 0.1065670906100422, 0.1630919931922108, 0.1139343958348035, 0.1587398024275899, 0.1568512748926878, 0.0850698482245206, -0.0300833117216825, 0.0034482600167393, -0.0059277301188558, 0.2003090213984251, 0.041801273371675, 0.0538181651500053, 0.1821936045889742, 0.042285436153179, 0.0345034940983168, 0.1093505059106974, 0.1113444678630912, -0.095270726684248]","[-0.0450564662622009, -0.138491703416914, 0.0411081017001859, 0.0177490574321544, -0.122134845588145, -0.0062927656697256, -0.0247214234130655, 0.0011696980015568, -0.0141553238623261, 0.0555187830064311, 0.0092720345090447, 0.0307323357930357, 0.1699195719372149, 0.1191038514269085, 0.0205766426290943, 0.1591858427127421, 0.0812386477486244, -0.0220144480532811, 0.0446245493397318, 0.0291405192334101, -0.146985979260106, -0.123659380742833, -0.1276106357833349, -0.0070059326735672, 0.012495687090829, 0.0039687664178154, 0.007492483119561, 0.0305545515637398, 0.0174174701102781, 0.0306738197611181, 0.0178387102241274, -0.141866575332448]",0.5475818629306656,0.7906495619481826,0.14439709170647289
156,Gentlemen,"[0.0361369437887333, 0.0542023977031931]","[0.0457262751965625, 0.1733839018015727]",0.945986912265326,1.0,0.14795217726482632
157,Germany,[-0.0172848616493865],[-0.0077351381652238],1.0,0.0,0.0
158,Ghanaian,[0.105075750965625],[0.1145412173372291],1.0,0.0,0.0
159,Ghanaians,[0.0221004359191283],[-0.0252573090098687],-1.0,0.0,0.0
160,God,"[0.0428249307442456, -0.0971672972664237, -0.1264571319334209]","[-0.0398109641186434, -0.057287345785114, -0.1495319378964095]",0.8357317964405945,0.7412658986407552,0.2424315781440942
161,Greece,"[0.0472908597439527, 0.0208606672240421]","[0.0457029634996077, 0.0217466033492589]",0.9995887238029203,1.0,0.012430293977376591
162,Greeks,[0.1157844653353095],[-0.1225323817876424],-1.0,0.0,0.0
163,Greg,[-0.0138082262128591],[0.0506588323716365],-1.0,0.0,0.0
164,Growing,[0.0378302901226561],[0.0362871360078345],1.0,0.0,0.0
165,Guinean,"[0.0802955486578866, 0.039821439422667, 0.0399926691316068]","[-0.0134719379387493, -0.0406866334442503, -0.0082148312628185]",-0.7075595773907667,0.3670920470769082,0.33862935624036306
166,Have,[-0.007037645438686],[0.0316361578035413],-1.0,0.0,0.0
167,He,"[0.1199913849122822, 0.045824026921764, 0.0600040695862844, 0.1287747095339, 0.0844648508355021, 0.1268972037069033, 0.1573175358353182, 0.1351316337822936, 0.0894547892094124, 0.0809814867097884, 0.0845508277416229, 0.045904204249382, 0.1294594214414246, 0.1326274248422123, 0.2478985976194962, 0.1509121128328843, 0.19752526137745, 0.0733175994828343, 0.1015597449732013, 0.1103788792388513, 0.0399785709450952, 0.1239072603639215, 0.1096258062170818, 0.1150217514950782, 0.1691083611476642, -0.0207064887508749, 0.1359422661043936, 0.0768468269379809, 0.1511081757489591, 0.0871221318375319, 0.0361326190177351, 0.0136864071246236, 0.0786793576553464, 0.1749174982396653, 0.1286494177766144, 0.0576650133007206, 0.2039795269956812, 0.3057341147359693, 0.0807619502302259, 0.0954100778326392, 0.0843567630072357, 0.0802728342823684, 0.1662107660085894, 0.09011606418062, 0.0302214475814253, 0.1018042445648461, 0.1204592651483835, 0.2281255410343874, 0.1265613583382219, 0.209977637976408, 0.1784731562947854, 0.1341326059773564, 0.2617276726523414, 0.0960356385912746, 0.1246837682556361, 0.039198147773277, 0.1408180382568389, 0.211643505084794, 0.0826639697625069, 0.0200243706058245, 0.201940931729041, 0.1457001449307426, 0.2557845334522426, 0.1399779275525361, 0.1047873646020889, 0.0480176609707996, 0.2035321092698723, 0.1678609662922099, 0.0800664041889831, 0.0751276928931474, 0.1514490167610347, 0.1867332672700286, 0.1160043602503719, 0.1507292425376363, 0.1397697760839946, -0.0848966597113758, 0.2478458873229101, 0.1539473026059568, 0.1165952989831566, 0.1005131718993652, 0.017877021091408, 0.2110572701640194, 0.025629500974901, 0.2243901017354801, 0.0568906281841918, 0.1516070892103016, 0.1275157671188935, 0.0468652730342, 0.0631109843961894, -0.0668753535137511, 0.0747501060832291]","[-0.0252305507197783, 0.1434676876140354, 0.1434676876140354, 0.0928463484262016, 0.0072994887145197, 0.020645511283049, 0.1355849482994099, 0.088726521868455, 0.089779320303813, 0.0771159853134171, -0.0248260684577123, 0.1634201183691128, 0.1634201183691128, 0.1002835396073879, 0.2374891355402777, 0.1786595156109677, 0.0405501961784856, 0.0205667522370129, 0.0581993796506095, 0.0822912308331393, 0.1489260314346823, 0.0927113630655801, 0.1235263602655132, 0.0974580186125164, 0.2732857758451836, -0.0174972325617301, 0.1758660560627126, 0.1293751547446332, 0.1985775850479298, 0.0433523563380879, 0.0552797148031098, 0.0357643995442701, 0.0899368113641396, 0.2188504276416298, 0.0554253223676171, 0.1459586002995048, 0.2932130529338398, 0.1445954299824213, 0.0487014815233188, -0.0133906220170697, 0.052128429971786, 0.0905279333666343, 0.0988051487679868, 0.1713832855143192, 0.1528137882289241, 0.0261597828108519, 0.0479983209017915, 0.1311530258538863, 0.1399098049546678, 0.3164304137651737, 0.1617793873894783, -0.0356620191519554, 0.1365666552701822, 0.0373742231533852, 0.1077623110579504, 0.0475560234022995, 0.1151365904696005, 0.4374784094665987, -0.0292033425622778, -0.0047281201438754, 0.157448676342931, 0.1187665843433634, -0.0433167664051561, 0.0774596191483894, -0.0513657026796558, 0.0005560999728983, 0.2179269077893329, 0.0558254518992133, 0.2046879538547972, 0.0913852136383764, 0.1533270060212783, 0.1818142206439261, 0.0322757052662054, 0.1011288301490302, 0.2291730951526039, -0.031623163008223, 0.1662769461810726, 0.1597905572219458, 0.1171726212368153, 0.1740330263710409, -0.0198408461048293, 0.1517641139534494, 0.0672608794999968, 0.162663141443253, -0.0013526491484065, 0.2000849785592972, 0.1464542572289807, 0.0700447255199396, 0.0173071611398292, -0.0266401738281422, 0.0647969806356208]",0.8222557765533637,0.5105988743519753,0.1894652872733031
168,Her,"[0.0603600945323705, 0.0655718017369508, 0.0119191352277994, 0.0054183220781851, 0.1125461161136627]","[-0.0227017898059545, -0.0438938055938947, -0.0532947321441416, 0.0151708891075235, 0.0809988797061733]",0.27239147926683793,0.5763212116190176,0.3734420645921344
169,Here,[-0.0755953569896519],[-0.0019888001710455],1.0,0.0,0.0
170,Hindu,"[0.0605124058201909, 0.1084121868479996, 0.0452237168792635, 0.2128170093055814, 0.160489912610501, 0.1128791321534663, 0.1120591291692107, 0.2415995586197823]","[-0.0298502347944606, 0.0671570403471509, 0.0268540074777257, 0.2887120635539358, -0.0241019097535303, 0.0123742431373606, 0.0292970288526445, 0.1057591045655919]",0.7121612159219535,0.6399615514803292,0.30344868281031134
171,His,"[0.1024952373700216, 0.1414457835635403, 0.0931613611755892, 0.0552031972911208, 0.0566661818884313, 0.0360315716388868, 0.062193589634262, 0.0663594990619458, 0.0528397062444128, -0.0040859221044229]","[0.0912469263760787, 0.1071767149696028, 0.1001459214916255, 0.0063144674502517, -0.0513505970480688, 0.0710376399184864, 0.0196518763107736, 0.0550509209180746, 0.0916681626752987, -0.0275062028674346]",0.8110169373598699,0.6486989181155415,0.23076478598822858
